id,scientific_field,science_field_label,degree,birth_country,study_country,study_country2,study_country3,work_country,work_country2,work_country3,current_country,student,doctoral_student,postdoc,professor,scientific_researcher,industrial_researcher,no_research,other_work,age,cultural_religion_problem,cultural_clothing_problem,cultural_namechanging_problem,cultural_infrastructure_problem,cultural_others_problem,personal_hormones_problem,personal_lifeplan_problem,personal_responsibilities_problem,personal_pregnancy_problem,personal_others_problem,work_equality_problem,work_unsupported_problem,work_collaborations_problem,work_infrastructure_problem,work_others_problem,technical_ideasharing_problem,technical_appreciation_problem,technical_publications_problem,technical_researcher_problem,technical_others_problem,cultural_any_problem,personal_any_problem,work_any_problem,technical_any_problem,birth_country_germany,birth_country_differs_from_work_or_study,age_regroup,cultural_religion_solved,cultural_clothing_solved,cultural_namechanging_solved,cultural_infrastructure_solved,cultural_others_solved,personal_hormones_solved,personal_lifeplan_solved,personal_responsibilities_solved,personal_pregnancy_solved,personal_others_solved,work_equality_solved,work_unsupported_solved,work_collaborations_solved,work_infrastructure_solved,work_others_solved,technical_ideasharing_solved,technical_appreciation_solved,technical_publications_solved,technical_researcher_solved,technical_others_solved,cultural_religion_description,cultural_religion_description_label,cultural_religion_solution_description,cultural_religion_solution_description_label,cultural_clothing_description,cultural_clothing_description_label,cultural_clothing_solution_description,cultural_clothing_solution_label,cultural_namechanging_description,cultural_namechanging_description_label,cultural_namechanging_solution_description,cultural_namechanging_solution_description_label,cultural_infrastructure_description,cultural_infrastructure_description_label,cultural_infrastructure_solution_description,cultural_infrastructure_solution_description_label,cultural_others_description,cultural_others_description_label,cultural_others_solution_description,cultural_others_solution_description_label,work_equality,label,work_equality_solution,label_1,work_unsupported,label_2,work_unsupported_solution,label_3,work_collaborations,label_4,work_collaborations_solution,label_5,work_infrastructure,label_6,work_infrastructure_solution,label_7,work_others,label_8,work_others_solution,label_9,technical_ideasharing,label_technical,technical_ideasharing_solution,label_1_technical,technical_appreciation,label_2_technical,technical_appreciation_solution,label_3_technical,technical_publications,label_4_technical,technical_publications_solution,label_5_technical,technical_researcher,label_6_technical,technical_researcher_solution,label_7_technical,technical_others,label_8_technical,technical_others_solution,label_9_technical
167,Computer Science / Software Engineering,Computer Science,PhD,Germany,Germany,France,,Germany,,,Germany,No,No,No,Yes,No,No,No,,>40,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,>40,Yes/Kind of,Yes/Kind of,,Yes/Kind of,,,No,,,,No,,No,,,No,No,No,No,,One of my colleagues was a satanist and I am wearing a silver cross around the neck.,limited_religious_freedom,We did not talk about religion. I had to quit the job anyway as my bosses had problems with my high qualification. They were making jokes about people from academics who did not get a professor position and then are worthless.,no_solution,"I was professor, and one of my assistants was telling everyone, including our students, that she would never wear such clothes as I do. (pinstripe trousers and jacket). ",mobbing/conflict_ability_across_women,"She lost the job. Joke. No, we had a lot of further problems with each other. So, I did not continue her contract which was limited anyway.",solution,,,,,"I got a very slow computer with loud keyboard and very small disk space. I was sitting in the same room with my boss. As he said he can not work while I type, he forbade me to type while he is in the office. So, then I started work earlier in the morning to type before he arrives. During his presence, I did not type but read instead. As I started to work early, I thought at first I can go home early. But then he complained that I am lazy and go home so early. So, I came early and stayed as long as before. Instead, I made a longer break around noon, writing private emails. Then, he started telling everyone that during the day, I do not productive work at all. Either I read or I write private emails. He never sees me working. (Because I did the writing in the morning, before he came!) 
The other problem with the disk space: I worked on course material for several weeks. When they were done,  I sent them to my boss by email. Then, I had the file twice: as file and in the emails. To save space, I deleted the email. Then, the disk space still was not sufficient, so I moved the course material to a shared folder in the network. On a day when I was not in the office, my boss deleted this file because he said he did not know what it was and assumed it was useless. As I had sent hom the course by email, I asked him to look for the email and restore the course material, but he did not do it. I asked several times, then I had to understand that my course was lost. ",mobbing/not_suitable_equipment/male_communication,"I lost the job. Not because of the infrastructure, but because of my notorious laziness. I was taken away most of my tasks when people heard that I studied English and French, notthing technical. I did not hear it before I left. In fact, I studied Physics and Engineering (two diplomas). So, that was probably the root cause of the problems. I had also further problems like that I was taken for a secretary, so everyone expected my to have access to my bosses calendar. As I had not, they thought I had instruction to give them no information. Etc etc. There were a lot of complaints about my work because they expected me to be a secretary what I was not. ",no_solution/change_workplace,nan (see “cultural_religion_solution”),male_communication,,,"Usually, it was assumed that I have not studied and have no work experience. I was regularly told to that ""for being sure"" they assume I have no relevant work experience. So, I was considered a job beginner at every job. When a new male colleague came, he was welcomed as ""one man more in the team"" and given real work from the beginning. I was told they have no time for explaining me their work I shall sit and read something and not keep others from working. So, the treatment was different from the beginning., I had different tasks and when I complained, they again explained me the difference between men and women. Men are colleagues, women are constant trainees.",Prejudice/Undermining,,,,,,,"As long as I was young and asking only questions, it was OK for them. Men like to explain things to women and feel superior. But when I started having work experience and my own opinion, there was a lot of resistance against working with me. ",Men_promote_men,,,,,,,,,,,"I was for instance recommended to not present my results in the group and at conferences because it was not perfect. Men can present non-perfect results, but I would not stand the critics I would get. So, to protect my feelings, I was not allowed to present my results although I wanted.",Expertise_perception,,,"The results of men are real results, my results were often not believed to be mine. For instance, I was told they were too good, they must stem from someone else with more competence than I can have. 
This happend the stronger, the more qualified I was. I suppose it was because my results improved, so the difference between what they expect from a woman and of what I deliver was larger.",Expertise_perception,,,"We had a male colleague who squeezed into the author list although he had not worked on the paper at all. He just allowed his (female) PhD student to publish it.
I had also problems publishing, was not always allowed to publish my results.",Undermined,,,"Yes, all the time. People say it is eithcal to give them priority. They need unlimited jobs and high salaries to nourish their familiy and build a house. I as a woman can become a housewife. So, I need no job at all, can do research at my kitchen table.",Undermining/Expertise_perception,,,,,,
180,Computer Science,Computer Science,PhD,Germany,Germany,,,Germany,,,Germany,No,No,No,Yes,No,No,No,,>40,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,>40,,Yes/Kind of,,No,No,,No,No,No,,No,,No,,,,,,,,,,,,"It is always a burden to decide about clothing. In an all-male culture, you cannot follow the dress code of men, esp. if it is (like in Computer Science) very casual. This again leads to a distinction between the male crowd and the female outstander. It is easier with formal dress code. ",conventions,"Prefer formal clothing, if in doubt. No Skin. ",workaround,,,,,"Deserted, dark buildings and paths in the evenings and weekends, not feeling safe. Desks to high. Lavs in remote places of the building. Large rooms without mics. ",no_safety/not_suitable_equipment,,,"Has to comply to one of two stereotypes: 1) aggressive, career oriented, expensive clothing, noisy and disliked by everyone, or 2) nice, pretty, quiet, hard working, liked by everyone, but never advance in your career.",visibility/conventions,,,Men promote men. Less pay.,Salary_Expectation/Men_promote_men,,,No answer,,,,Do not take serious. Think that stop to work after marriage / children. Continue work in pubs and at sports events where women are not present. Think that your task is to serve them. Take your results and claim for themselves. ,Self_confidence/ family_planning/Undermining/ to_be_discussed (stealing ideas?),,,No answer,,,,,,,,,,,,,,,,,,,,,,,,No answer,,,
192,Information Systems,Computer Science,PhD,Germany,Germany,,,Germany,Switzerland,,Germany,No,No,No,No,Yes,No,No,,>40,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,>40,,No,,No,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Computer Science,Computer Science,PhD,India,Germany,India,,Germany,India,,Germany,No,No,Yes,No,No,No,No,,30-40,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,30-40,,,,,Yes/Kind of,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Language,not_only_female,,,,,,,,,,,,,,,,,,,,,,,No answer,,,,,,,,,,,,,,,,No answer,,,
195,computer science,Computer Science,PhD,Germany,Germany,,,Germany,,,Germany,No,No,No,No,Yes,No,No,,>40,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,>40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Macine Learning,Computer Science,Master,India,Germany,India,,Germany,India,,Germany,No,Yes,No,No,No,No,No,,26-30,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,20-30,,,,,Yes/Kind of,Yes/Kind of,,,,,,,,,,,,,,Yes/Kind of,,,,,,,,,,,,,,,,,Name constantly mis-spelled or mis-pronounced. ,naming_problem/not_only_female,I tell people how to speak / spell my name,solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Organisational aspects in a collaborative project fall to me when I am the only woman on the team. It is also hard to be aggressive and assertive when working with an all-male team. I feel like I also have to push harder to get the same level of support in a collaborative project in comparison to a male colleague.,Self_confidence,I ask other male colleagues / supervisor to help with pushing other male colleagues in a collaborative setting.,Help_by_others
197,Computer Vision,Computer Science,PhD,Iran,Germany,Iran,,Germany,,,Germany,No,Yes,No,No,No,No,No,,26-30,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,20-30,,Yes/Kind of,,,,Yes/Kind of,No,,No,,,,Yes/Kind of,,,Yes/Kind of,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Computer Sience/Cognitive Science,Computer Science,PhD,Greece,Germany,Greece,,Greece,Germany,,Germany,No,No,No,No,Yes,No,No,,30-40,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,30-40,,,,,Yes/Kind of,,No,,No,,Yes/Kind of,,,,,,,,,,,,,,,,,,,,,,,,,,Language,not_only_female,Had language lessons,solution,No answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Computer Science,Computer Science,Master,Germany,Germany,,,Germany,,,Germany,No,Yes,No,No,No,No,No,,26-30,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,20-30,,,,,,,No,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Computer Science,Computer Science,Master,Egypt,Germany,Egypt,,German,Egypt,,Germany,No,Yes,No,No,No,No,No,,30-40,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,30-40,,,,,,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,"Physics, Machine Learning",Computer Science,PhD,USA,Germany,,,Germany,CHina,,Germany,No,No,Yes,No,No,No,No,,30-40,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,30-40,,,,,,,No,,No,Yes/Kind of,,No,No,,,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Computer Science,Computer Science,PhD,Germany,Germany,Norway,,Germany,UK,,Germany,No,No,Yes,No,No,No,No,reserach group leader,26-30,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,20-30,,Yes/Kind of,,,,Yes/Kind of,,,,,,,Yes/Kind of,No,,,Yes/Kind of,,No,No,,,,,I was expected to dress more formal than my male colleagues,conventions,I ignored it and continued to wear what I like,no_solution,,,,,,,,,,,,,,,,,,,,,"Older people at the institute made very misogynist comments or were commenting on my outfits when they thought they were nice (although I had no contact with these people otherwise); some collaborators took my male students more serious than me, although I was the project leader; I was told to smile more after a talk instead of any scientific input; I needed to tell people off for flirting instead of working with me.",Male_communication/ Conventions,I tried not to interact with these people,No_solution,"There was only one female bathroom with one toilet on my floor; I often had to go several floors down if someone else was using it, which was more often than not with four female secretaries, one other female student and me sharing this one bathroom. The male bathroom right next to it had 4 cubicles.",Not_suitable_equipment ,,,,,,,,,,,"Sometimes, I felt like I am not even seen as part of the project, although I was the key initiator. Male researchers with equally or less successful PhDs were called genius and highly valuable etc., I was just that one woman on the team.",Expertise_perception,I am not working there any longer ;) ,Change_workplace,,,,,Who was invited to give talks often was a decision based on someone knew a guy even though there were more successful women who could have talked about the same thing,Visibility,,,"Not sure whether this is of interest but I was explicitly mentioned in the realm of research projects I wasn't part of, just so the project looked more diverse. Me explicitly saying that I don't want this was just ignored.",Undermining,,
206,Computer Science,Computer Science,Diploma,Germany,Germany,,,Germany,,,Germany,No,Yes,No,No,Yes,No,No,,30-40,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,30-40,,,,,,,No,No,No,,No,No,Yes/Kind of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Machine Learning / Computational Neuroscience,Computer Science,Master,Germany,Germany,United Kingdom,,Germany,,,Germany,No,Yes,No,No,No,No,No,,26-30,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,20-30,,,,,,,No,No,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,many social aspects are structured around going out late at night with in most cases just men. These are rather subtle things. but collaborations are best with people one likes to hang out with have fun and in most cases beers. Despite this being unproblematic for myself I see lots of my female colleagues with different cultural or personal backgrounds not participating in these activities which ultimately lead to less equality.,Men_promote_men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Robotics (Engineering and Computer Science),Computer Science,PhD,USA,USA,,,USA,Germany,,Germany,No,No,No,Yes,No,No,No,,>40,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,>40,,,,,,,Yes/Kind of,Yes/Kind of,No,,No,Yes/Kind of,,,No,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,"Smart Cities, Modelling, AI",Computer Science,Master,Germany,Germany,,,,,,Germany,Yes,No,No,No,No,No,No,,26-30,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,20-30,,,,,,,,,,,No,No,No,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Bioinformatics,Computer Science,Diploma,Russia,Germany,,,Russia,Germany,,Germany,No,Yes,No,No,Yes,No,No,,30-40,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,30-40,,,,,,,,,,,,,,Yes/Kind of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Computer Science,Computer Science,Bachelor,Germany,Germany,,,,,,Germany,Yes,No,No,No,No,No,No,,20-25,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,20-30,,,,,,No,,,,,No,No,Yes/Kind of,No,,,,,,,,,,,,,,,,,,,,,,,,,,,the equal opportunities officer himself uses sexist slides in his lecture...,Male_communication,,,see equality,,,,lack of understanding / refusal to 'gender' (use male and female form for occupations words etc. as opposed to only using the male form in writing),Men_promote_men,insisting to do that in written form and lead discussions about it,Help_by_others,see equality,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,information technology,Computer Science,Others,Germany,Germany,,,Germany,,,Germany,No,Yes,No,No,Yes,No,No,,20-25,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,20-30,,,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
